datetime,"price BTC-USD"
2017-07-21T00:00:00+00:00,2265.51
2017-07-22T00:00:00+00:00,2611.39
2017-07-23T00:00:00+00:00,2644.59
2017-07-24T00:00:00+00:00,2640
2017-07-25T00:00:00+00:00,2419.0464223084
2017-07-26T00:00:00+00:00,2402.2864825883
2017-07-27T00:00:00+00:00,2400
2017-07-28T00:00:00+00:00,2509.63
2017-07-29T00:00:00+00:00,2655.82
2017-07-30T00:00:00+00:00,2616.0629749796
2017-07-31T00:00:00+00:00,2569.69
2017-08-01T00:00:00+00:00,2612.8349813682
2017-08-02T00:00:00+00:00,2615
2017-08-03T00:00:00+00:00,2650
2017-08-04T00:00:00+00:00,2698.83
2017-08-05T00:00:00+00:00,2765.91
2017-08-06T00:00:00+00:00,2848.32
2017-08-07T00:00:00+00:00,3146.1
2017-08-08T00:00:00+00:00,3186
2017-08-09T00:00:00+00:00,3225.3054263102
2017-08-10T00:00:00+00:00,3178.72
2017-08-11T00:00:00+00:00,3311.17
2017-08-12T00:00:00+00:00,3390.67
2017-08-13T00:00:00+00:00,3586.95
2017-08-14T00:00:00+00:00,3841.71
2017-08-15T00:00:00+00:00,3777.4579029232
2017-08-16T00:00:00+00:00,3800
2017-08-17T00:00:00+00:00,3926.06
2017-08-18T00:00:00+00:00,3939.5675555269
2017-08-19T00:00:00+00:00,3864.2916877804
2017-08-20T00:00:00+00:00,3900
2017-08-21T00:00:00+00:00,3947.8646180348
2017-08-22T00:00:00+00:00,3590.7796967113
2017-08-23T00:00:00+00:00,3600
2017-08-24T00:00:00+00:00,4051.94
2017-08-25T00:00:00+00:00,4082.57
2017-08-26T00:00:00+00:00,4246.1285504561
2017-08-27T00:00:00+00:00,4232.43
2017-08-28T00:00:00+00:00,4166.8411415665
2017-08-29T00:00:00+00:00,4169.01
2017-08-30T00:00:00+00:00,4336.26
2017-08-31T00:00:00+00:00,4479
2017-09-01T00:00:00+00:00,4566.66
2017-09-02T00:00:00+00:00,4300.2228098031
2017-09-03T00:00:00+00:00,4328.2022279865
2017-09-04T00:00:00+00:00,4011.0468845304
2017-09-05T00:00:00+00:00,3893.4118450664
2017-09-06T00:00:00+00:00,4001.93
2017-09-07T00:00:00+00:00,4356.42
2017-09-08T00:00:00+00:00,4017.9881279087
2017-09-09T00:00:00+00:00,4125.99
2017-09-10T00:00:00+00:00,3962.235428546
2017-09-11T00:00:00+00:00,4010
2017-09-12T00:00:00+00:00,4029.3944325625
2017-09-13T00:00:00+00:00,3727.7440295124
2017-09-14T00:00:00+00:00,3202.806344946
2017-09-15T00:00:00+00:00,2923.9508514803
2017-09-16T00:00:00+00:00,2972.01
2017-09-17T00:00:00+00:00,3465.460025879
2017-09-18T00:00:00+00:00,3463
2017-09-19T00:00:00+00:00,3659.42
2017-09-20T00:00:00+00:00,3823.0325367037
2017-09-21T00:00:00+00:00,3556.3492729886
2017-09-22T00:00:00+00:00,3499.5491278207
2017-09-23T00:00:00+00:00,3514
2017-09-24T00:00:00+00:00,3552
2017-09-25T00:00:00+00:00,3615
2017-09-26T00:00:00+00:00,3658.39
2017-09-27T00:00:00+00:00,3850.61
2017-09-28T00:00:00+00:00,3870
2017-09-29T00:00:00+00:00,3975.7906960435
2017-09-30T00:00:00+00:00,4022.02
2017-10-01T00:00:00+00:00,4154.28
2017-10-02T00:00:00+00:00,4216
2017-10-03T00:00:00+00:00,4208.7046769397
2017-10-04T00:00:00+00:00,4163.1674423624
2017-10-05T00:00:00+00:00,4126.3036586967
2017-10-06T00:00:00+00:00,4137.96
2017-10-07T00:00:00+00:00,4278.4
2017-10-08T00:00:00+00:00,4312.82
2017-10-09T00:00:00+00:00,4404.5
2017-10-10T00:00:00+00:00,4541
2017-10-11T00:00:00+00:00,4700
2017-10-12T00:00:00+00:00,4700
2017-10-13T00:00:00+00:00,4793.66
2017-10-14T00:00:00+00:00,5380
2017-10-15T00:00:00+00:00,5425.3130911153
2017-10-16T00:00:00+00:00,5415
2017-10-17T00:00:00+00:00,5504.7616732375
2017-10-18T00:00:00+00:00,5089.400873602
2017-10-19T00:00:00+00:00,5101.36
2017-10-20T00:00:00+00:00,5512.06
2017-10-21T00:00:00+00:00,5589.8
2017-10-22T00:00:00+00:00,5706.3062408587
2017-10-23T00:00:00+00:00,5571.5175698566
2017-10-24T00:00:00+00:00,5436.8863316989
2017-10-25T00:00:00+00:00,5326.6880386435
2017-10-26T00:00:00+00:00,5366
2017-10-27T00:00:00+00:00,5664.7106348376
2017-10-28T00:00:00+00:00,5640.9728385811
2017-10-29T00:00:00+00:00,5646.18
2017-10-30T00:00:00+00:00,5683
2017-10-31T00:00:00+00:00,6024.03
2017-11-01T00:00:00+00:00,6072.81
2017-11-02T00:00:00+00:00,6340.01
2017-11-03T00:00:00+00:00,6700
2017-11-04T00:00:00+00:00,6904.918481915
2017-11-05T00:00:00+00:00,6994
2017-11-06T00:00:00+00:00,6916.2590824355
2017-11-07T00:00:00+00:00,6922.07
2017-11-08T00:00:00+00:00,6833.0618583936
2017-11-09T00:00:00+00:00,6999.6879001926
2017-11-10T00:00:00+00:00,6306.9770364947
2017-11-11T00:00:00+00:00,6141.8810231559
2017-11-12T00:00:00+00:00,5320.0292858013
2017-11-13T00:00:00+00:00,5555.55
2017-11-14T00:00:00+00:00,5846
2017-11-15T00:00:00+00:00,6466.88
2017-11-16T00:00:00+00:00,6609
2017-11-17T00:00:00+00:00,7120.85
2017-11-18T00:00:00+00:00,7409.9639472252
2017-11-19T00:00:00+00:00,7431.54
2017-11-20T00:00:00+00:00,7675
2017-11-21T00:00:00+00:00,7804.4151166175
2017-11-22T00:00:00+00:00,7770
2017-11-23T00:00:00+00:00,7996.3528771263
2017-11-24T00:00:00+00:00,7877.8917479122
2017-11-25T00:00:00+00:00,7876
2017-11-26T00:00:00+00:00,8114.78
2017-11-27T00:00:00+00:00,8538.2
2017-11-28T00:00:00+00:00,9267
2017-11-29T00:00:00+00:00,8679.4488716281
2017-11-30T00:00:00+00:00,8856.0743916586
2017-12-01T00:00:00+00:00,9000
2017-12-02T00:00:00+00:00,9370.11
2017-12-03T00:00:00+00:00,10478.886516267
2017-12-04T00:00:00+00:00,10513.16
2017-12-05T00:00:00+00:00,10850
2017-12-06T00:00:00+00:00,11384.25
2017-12-07T00:00:00+00:00,11659.8
2017-12-08T00:00:00+00:00,13085.9
2017-12-09T00:00:00+00:00,12789.001460247
2017-12-10T00:00:00+00:00,12549.02914306
2017-12-11T00:00:00+00:00,13011
2017-12-12T00:00:00+00:00,14677.19
2017-12-13T00:00:00+00:00,14968.351545446
2017-12-14T00:00:00+00:00,15430.163177496
2017-12-15T00:00:00+00:00,15852.69
2017-12-16T00:00:00+00:00,16337.19
2017-12-17T00:00:00+00:00,17269.99
2017-12-18T00:00:00+00:00,17553.692493275
2017-12-19T00:00:00+00:00,16466.04080481
2017-12-20T00:00:00+00:00,15311.579222358
2017-12-21T00:00:00+00:00,14319.18014073
2017-12-22T00:00:00+00:00,11078.209239729
2017-12-23T00:00:00+00:00,11159.93
2017-12-24T00:00:00+00:00,11671.513901302
2017-12-25T00:00:00+00:00,12488
2017-12-26T00:00:00+00:00,13210
2017-12-27T00:00:00+00:00,13746.95
2017-12-28T00:00:00+00:00,13214.114420462
2017-12-29T00:00:00+00:00,13500
2017-12-30T00:00:00+00:00,11736.934373114
2017-12-31T00:00:00+00:00,12050
2018-01-01T00:00:00+00:00,12491.21
2018-01-02T00:00:00+00:00,12801.38
2018-01-03T00:00:00+00:00,12910.58
